id,name,type,sex,age,vfunctional,agfunctional,representation,position,influence,status
Hit,Thomas Hitzlsperger,1,1,1,,3,1,1,1,1
Roe,Jochen Roettgermann,1,1,2,,3,,,1,2
Hei,Stefan Heim,1,1,3,,3,,,1,2
Scr,Oliver Schraft,1,1,3,,3,,,1,2
Kel,Tobias Keller,1,1,1,,3,3,3,3,1
Vog,Claus Vogt,1,1,3,1,4,3,1,2,1
Por,Wilfried Porth,1,1,4,,4,3,2,3,1
Adr,Rainer Adrion,1,1,4,1,4,1,3,2,1
Jen,Hartmut Jenner,1,1,3,,4,3,2,3,1
Rei,Franz Reiner,1,1,3,,4,3,3,3,1
Sug,Dr Bertram Sugg,1,1,3,,4,4,3,3,1
Ohl,Hermann Ohlicher,1,1,5,,,,3,3,2
Wen,Rainer Wenninger,1,1,3,2,,,1,2,1
Bul,Prof Dr Andre Buehler,1,1,2,2,,,2,2,1
Moe,Prof Dr Hubert Moerk,1,1,4,2,,,3,3,1
See,Prof Christof Seeger,1,1,2,2,,,3,3,1
Erh,Dr Wolf Dietrich Erhard,1,1,4,2,,,3,1,2
Scl,Dr Marc Nicolai Schlecht,1,1,2,2,,,3,2,1
Mut,Rainer Mutschler,1,1,4,1,,,,1,2
Gai,Bernd Gaiser,1,1,4,1,,,,1,2
Mai,Claudia Maintok,1,2,1,2,,,,1,2
Goe,Dieter Goeggel,1,1,4,2,,,,1,2
Bur,James Buehrer,1,1,3,2,,,,1,2
Sta,Erwin Staudt,1,1,5,5,,,3,3,1
Oez,Cem Oezdemir,1,1,3,,,,3,2,3
Rie,Christian Riethmueller,1,1,2,,,,3,2,3
eV,VfB Stuttgart 1893 eV,2,,,,,,,,
AG,VfB Stuttgart 1893 AG,2,,,,,,,,
PRA,Praesidium VfB Stuttgart 1893 eV,3,,,,,,,,
VBR,Vereinsbeirat VfB Stuttgart 1893 eV,3,,,,,,,,
VST,Vorstand VfB Stuttgart 1893 AG,3,,,,,,,,
AUR,Aufsichtsrat VfB Stuttgart 1893 AG,3,,,,,,,,
ARD,ARD Rundfunk,2,,,,,,,,
BR,Bayrischer Rundfunk,2,,,,,,,,
NLZ,Nachwuchsleistungszentrum VfB Stuttgart,2,,,,,,,,
KCM,Kommission Clubmedien DFL,2,,,,,,,,
INT,Intesia Group Holding GmbH,2,,,,,,,,
FCP,FC Playfair,2,,,,,,,,
DAI,Daimler AG,2,,,,,,,,
DFB,Deutscher Fussball Bund,2,,,,,,,,
KAE,Alfred Kaercher SE Co KG,2,,,,,,,,
KFS,Alfred Kaercher Foerderstiftung,2,,,,,,,,
DM,Daimler Mobility AG,2,,,,,,,,
RB,Robert Bosch GmbH,2,,,,,,,,
DFL,Deutsche Fussball Liga,2,,,,,,,,
DAF,Deutsche Akademie fuer Fussballkultur,2,,,,,,,,
OSB,Osiandersche Buchhandlung,2,,,,,,,,
GRU,Bündnis 90 Die Gruenen,2,,,,,,,,
